V | I veicoli a due ruote, con motore termico fino a 50 cm3 di cilindrata e velocità massima di 45 km/h sono ciclomotori
V | Il segnale raffigurato può essere integrato con pannello indicante gli orari di manovra o di funzionamento di un ponte mobile
V | Dopo il segnale raffigurato possiamo trovare un dispositivo a luci rosse lampeggianti
V | Il segnale raffigurato comporta di arrestarsi se sono in funzione le luci rosse lampeggianti
V | Il segnale raffigurato può essere integrato dal pannello distanziometrico a tre barre rosse
F | Il segnale raffigurato preannuncia un'area portuale
F | Il segnale raffigurato obbliga ad arrestarsi prima di attraversare il ponte
F | Il segnale raffigurato preannuncia un ponte con forte pendenza
F | Il segnale raffigurato impone di dare la precedenza ai veicoli provenienti dal senso opposto
F | Il segnale raffigurato vieta il sorpasso se posto sulla strada di accesso ad un'area portuale
F | Il segnale raffigurato preannuncia un passaggio a livello con barriere 29 Banchina cedevole Figura 23
V | Il segnale raffigurato preannuncia un tratto di strada con banchina cedevole
V | Il segnale raffigurato preannuncia un tratto di strada con banchina non praticabile
V | Il segnale raffigurato preannuncia un possibile pericolo di caduta nella cunetta laterale alla strada
V | Il segnale raffigurato preannuncia un tratto di strada con banchina pericolosa
V | Il segnale raffigurato è un segnale di pericolo
V | In presenza del segnale raffigurato è consigliabile non avvicinarsi troppo al margine destro della strada
F | Il segnale raffigurato deve essere integrato con il segnale di limite di velocità
F | Il segnale raffigurato è un segnale di indicazione
F | Il segnale raffigurato preannuncia il divieto di continuare a percorrere quella strada
F | Il segnale raffigurato preannuncia una strada dissestata
F | Il segnale raffigurato preannuncia la presenza di pietrisco sulla pavimentazione
F | Il segnale raffigurato preannuncia il pericolo di allagamento della carreggiata
F | Il segnale raffigurato, preannuncia lo sbocco su un molo Strada sdrucciolevole Figura 24 Figura 917 Figura 918
V | Il segnale raffigurato preannuncia un tratto di strada che può diventare pericoloso in particolari condizioni climatiche specificate nei pannelli integrativi
V | Il segnale raffigurato preannuncia una strada con superficie che può diventare particolarmente sdrucciolevole
V | Il segnale (A), abbinato con il pannello (B), preannuncia una strada con superficie particolarmente sdrucciolevole in caso di pioggia (FIG 918)
V | Il segnale (A), se abbinato con il pannello (B), preannuncia un tratto di strada sul quale, in particolari condizioni meteo- rologiche, è probabile la presenza di ghiaccio (FIG 917)
V | Il segnale raffigurato preannuncia un tratto di strada sul quale può diminuire l'aderenza degli pneumatici
V | Il segnale raffigurato comporta di procedere a velocità moderata e di evitare brusche manovre
F | Il segnale raffigurato preannuncia una strettoia
F | Il segnale raffigurato preannuncia la possibilità di sbandamento per forte vento laterale
F | Il segnale raffigurato preannuncia un tratto di strada dove aumenta l'aderenza degli pneumatici
F | Il segnale raffigurato preannuncia che su quella strada diminuisce lo spazio di frenatura
F | Il segnale raffigurato invita a diminuire la distanza di sicurezza
F | Il segnale raffigurato preannuncia una strada con molte curve
F | Il segnale raffigurato preannuncia una pista per la prova di tenuta degli pneumatici 30 Strada sdrucciolevole (comportamento) Figura 24
V | In presenza del segnale raffigurato è necessario moderare la velocità ed evitare brusche frenate in caso di pioggia
V | In presenza del segnale raffigurato è necessario moderare la velocità ed evitare brusche accelerate in caso di ghiaccio
V | In presenza del segnale raffigurato è necessario moderare la velocità ed evitare brusche sterzate in caso di pioggia
V | In presenza del segnale raffigurato è necessario moderare la velocità e tenere presente che la distanza di sicurezza aumenta in caso di ghiaccio
F | In presenza del segnale raffigurato è necessario tenere presente che la distanza di frenatura diminuisce in caso di pioggia
F | In presenza del segnale raffigurato è necessario diminuire la distanza dal veicolo che ci precede, in caso di pioggia
F | In presenza del segnale raffigurato è necessario accelerare bruscamente in caso di pioggia
F | In presenza del segnale raffigurato è sempre vietato il sorpasso quando piove
F | In presenza del segnale raffigurato è necessario frenare bruscamente in caso di ghiaccio
F | Il segnale raffigurato vieta il transito ai veicoli con ruote sporche di fango
F | In presenza del segnale raffigurato è necessario montare le catene Animali domestici vaganti Figura 26
V | Il segnale raffigurato preannuncia un tratto di strada con probabile attraversamento di animali domestici
V | Il segnale raffigurato richiede di rallentare o di arrestarsi se gli animali sulla strada danno segno di spavento
V | Il segnale raffigurato richiede di rallentare o di arrestarsi se gli animali sulla strada non si spostano
V | Il segnale raffigurato preannuncia la possibilità di trovare sulla strada animali domestici vaganti
V | Il segnale raffigurato invita a fare attenzione per la probabile presenza di animali domestici sulla carreggiata
F | In presenza del segnale raffigurato è obbligatorio usare ripetutamente l'avvisatore acustico per allontanare gli animali
F | Il segnale raffigurato preannuncia una zona riservata al pascolo con divieto di transito ai veicoli a motore
F | Il segnale raffigurato preannuncia una strada riservata alla circolazione di animali domestici
F | Il segnale raffigurato preannuncia la presenza di veicoli a trazione animale
F | Il segnale raffigurato preannuncia una fattoria in aperta campagna 31 Animali selvatici vaganti Figura 27
V | Il segnale raffigurato preannuncia il probabile attraversamento di animali selvatici
V | Il segnale raffigurato richiede di rallentare e all'occorrenza di arrestarsi se gli animali danno segno di spavento
V | Il segnale raffigurato richiede di rallentare e all'occorrenza di arrestarsi se gli animali attraversano improvvisamente la strada
V | Il segnale raffigurato preannuncia la possibilità di trovare improvvisamente animali vaganti sulla carreggiata
V | Il segnale raffigurato preannuncia il probabile e improvviso attraversamento di animali selvatici
V | Il segnale raffigurato richiede di rallentare per evitare urti con animali selvatici vaganti
F | In presenza del segnale raffigurato è obbligatorio usare ripetutamente l'avvisatore acustico per allontanare gli animali
F | Il segnale raffigurato preannuncia una area riservata alla circolazione di animali selvatici
F | Il segnale raffigurato obbliga a marciare al centro della strada per evitare di investire gli animali selvatici
F | Il segnale raffigurato consente il transito dei soli veicoli a quattro ruote motrici
F | Il segnale raffigurato indica l'ingresso di uno “zoo safari”
F | Il segnale raffigurato indica l'ingresso di un Parco Nazionale Doppio senso di circolazione Figura 28
V | Il segnale raffigurato preannuncia che una carreggiata a senso unico, diventa a doppio senso di circolazione
V | Il segnale raffigurato preannuncia che, poco oltre, si potranno incontrare veicoli che marciano in senso opposto
V | Il segnale raffigurato preannuncia che termina il senso unico di circolazione
V | Il segnale raffigurato è un segnale di pericolo
V | Il segnale raffigurato indica che, poco oltre, occorrerà usare maggiore prudenza
V | Il segnale raffigurato, se a fondo giallo, è posto in presenza di lavori in corso
V | In presenza del segnale raffigurato il sorpasso, se consentito, deve essere effettuato con particolare prudenza
F | Il segnale raffigurato preannuncia che il traffico si svolge su due carreggiate separate
F | Il segnale raffigurato preannuncia che la circolazione diventa a senso unico
F | Il segnale raffigurato impone di dare la precedenza ai veicoli provenienti in senso contrario
F | Il segnale raffigurato preannuncia il diritto di precedenza nei sensi unici alternati
F | Il segnale raffigurato preannuncia che bisogna ritornare indietro
F | Il segnale raffigurato preannuncia un senso unico alternato
F | Il segnale raffigurato è un preavviso di direzione obbligatoria 32 Rotatoria Figura 29
V | Il segnale raffigurato preannuncia un incrocio di due o più strade extraurbane regolato con circolazione rotatoria
V | Il segnale raffigurato preannuncia un incrocio di più strade regolato con circolazione nel senso indicato dalle frecce
V | Il segnale raffigurato può essere usato anche nei centri abitati
F | Il segnale raffigurato vieta la svolta a destra al primo incrocio
F | Il segnale raffigurato preannuncia una strada senza uscita, per cui bisogna tornare indietro
F | Il segnale raffigurato preannuncia una svolta a sinistra obbligatoria Sbocco su molo o argine Figura 30
V | Il segnale raffigurato preannuncia lo sbocco della strada su una banchina portuale
V | Il segnale raffigurato preannuncia lo sbocco della strada su un molo
V | Il segnale raffigurato preannuncia lo sbocco della strada sull'argine di un fiume
V | Il segnale raffigurato preannuncia lo sbocco della strada sull'argine di un canale
V | In presenza del segnale raffigurato bisogna usare particolare prudenza, soprattutto di notte, per evitare di cadere in acqua
V | Il segnale raffigurato preannuncia il pericolo di caduta in acqua
V | In presenza del segnale raffigurato bisogna usare particolare prudenza se, nel tratto di strada che segue, si dovranno effettuare manovre di retromarcia
V | Il segnale raffigurato è un segnale di pericolo
F | Il segnale raffigurato preannuncia un viadotto in costruzione
F | Il segnale raffigurato obbliga ad arrestarsi in corrispondenza di un ponte mobile in manovra
F | Il segnale raffigurato preannuncia un tratto di strada interrotto per alluvione
F | Il segnale raffigurato preannuncia lo sbocco su un ponte mobile
F | In presenza del segnale raffigurato bisogna usare particolare prudenza perché si incontra una discesa ripida
F | Il segnale raffigurato preannuncia il pericolo di mareggiate
F | Il segnale raffigurato preannuncia un'area attrezzata per il lavaggio dei veicoli
F | Il segnale raffigurato si riferisce soltanto alle autovetture
F | Il segnale raffigurato non ha validità nei mesi estivi 33 Materiale instabile sulla strada Figura 31
V | Il segnale raffigurato preannuncia un tratto di strada sul quale l'aderenza del veicolo può diminuire
V | Il segnale raffigurato richiede di procedere con cautela in presenza di pedoni, anche se si trovano fuori dalla carreggiata
V | Il segnale raffigurato preannuncia la presenza di pietrisco che può essere scagliato a distanza al passaggio del veicolo
V | Il segnale raffigurato richiede di moderare la velocità, incrociando un altro veicolo
V | In presenza del segnale raffigurato è opportuno mantenere una distanza maggiore dal veicolo che precede
V | Il segnale raffigurato preannuncia il pericolo di trovare pietrisco sulla pavimentazione stradale
V | In presenza del segnale raffigurato occorre considerare il pericolo di sbandamento o di slittamento
V | Il segnale raffigurato, se a fondo giallo, è posto in presenza di cantieri stradali
F | Il segnale raffigurato consiglia di accelerare per aumentare l'aderenza del veicolo sull'asfalto
F | Il segnale raffigurato è un segnale di prescrizione
F | Il segnale raffigurato preannuncia un tratto di strada soggetto a frana
F | Il segnale raffigurato, se a fondo giallo, preannuncia un tratto di strada non percorribile per la presenza di cantieri stradali
F | Il segnale raffigurato preannuncia la presenza di banchine cedevoli
F | Il segnale raffigurato preannuncia un tratto di strada ove esiste il pericolo di caduta di massi
F | Il segnale raffigurato preannuncia l'obbligo di montare le catene da neve Caduta massi (da sinistra) Figura 32
V | Il segnale raffigurato preannuncia il pericolo di caduta di massi
V | Il segnale raffigurato preannuncia un tratto di strada ove esiste il pericolo di presenza di pietre sulla carreggiata
V | Il segnale raffigurato preannuncia il pericolo di caduta di pietre da sinistra con conseguente loro presenza sulla carreggiata
V | In presenza del segnale raffigurato è opportuno moderare la velocità per evitare di urtare eventuali massi caduti sulla carreggiata
V | In presenza del segnale raffigurato è consigliabile evitare lunghe soste nel tratto di strada interessato dal pericolo
F | Il segnale raffigurato preannuncia un tratto di strada con cantieri stradali
F | In presenza del segnale raffigurato è opportuno suonare con insistenza
F | Il segnale raffigurato preannuncia un tratto di strada in cattivo stato o con pavimentazione irregolare
F | Il segnale raffigurato preannuncia un tratto di strada deformata
F | Il segnale raffigurato preannuncia un tratto di strada in cui è vietato il sorpasso 34 Caduta massi (da destra) Figura 33
V | Il segnale raffigurato preannuncia il pericolo di caduta di massi da destra
V | Il segnale raffigurato preannuncia un tratto di strada ove esiste il pericolo di presenza di pietre sulla carreggiata
V | Il segnale raffigurato preannuncia il pericolo di caduta di pietre dalla parete rocciosa
V | In presenza del segnale raffigurato è opportuno moderare la velocità per evitare di urtare eventuali massi caduti sulla carreggiata
V | In presenza del segnale raffigurato bisogna far attenzione a possibili brusche frenate da parte dei veicoli che precedono
F | Il segnale raffigurato preannuncia un tratto di strada sdrucciolevole
F | Il segnale raffigurato preannuncia una strettoia a destra
F | Il segnale raffigurato preannuncia un tratto di strada non asfaltato
F | Il segnale raffigurato preannuncia banchine cedevoli
F | Il segnale raffigurato preannuncia un tratto di strada dove non si può circolare ad oltre 30 km/h
F | Il segnale raffigurato preannuncia possibili grandinate Semaforo (dischi in verticale) Figura 34
V | Il segnale raffigurato preannuncia un semaforo
V | Il segnale raffigurato è un segnale di pericolo
V | Nel segnale raffigurato, il disco giallo può essere sostituito da una luce gialla lampeggiante
V | In presenza del segnale raffigurato bisogna moderare la velocità per potersi all'occorrenza fermare
V | Il segnale raffigurato è a fondo giallo se posto prima di un cantiere stradale
V | Il segnale raffigurato preannuncia un semaforo con disposizione delle luci in verticale
V | Il segnale raffigurato è obbligatorio sulle strade extraurbane
V | Sulle strade extraurbane il segnale è sempre obbligatorio
F | Il segnale raffigurato può avere il disco rosso sostituito da una luce rossa lampeggiante
F | Il segnale raffigurato preannuncia un attraversamento ferroviario senza barriere
F | Il segnale raffigurato può preannunciare un passaggio a livello con semibarriere
F | Il segnale raffigurato preannuncia un senso unico alternato
F | Il segnale raffigurato preannuncia la presenza di un ponte mobile
F | Il segnale raffigurato può avere al centro una luce gialla fissa 35 Semaforo (dischi in orizzontale) Figura 35
V | Il segnale raffigurato preannuncia un impianto semaforico con disposizione delle luci in orizzontale
V | Il segnale raffigurato è un segnale di pericolo
V | Nel segnale raffigurato, il disco giallo può essere sostituito da una luce gialla lampeggiante
V | Il segnale raffigurato indica che bisogna moderare la velocità per potersi all'occorrenza fermare
V | Il segnale raffigurato è, di norma, posto 150 metri prima di un semaforo
F | Il segnale raffigurato indica l'obbligo di arresto ad un posto di blocco stradale istituito dagli organi di polizia
F | Il segnale raffigurato preannuncia la presenza di un ponte mobile
F | Il segnale raffigurato preannuncia l'accesso al pontile d'imbarco di navi traghetto
F | Il segnale raffigurato può avere il disco rosso sostituito da una luce rossa lampeggiante
F | Il segnale raffigurato preannuncia un attraversamento ferroviario senza barriere
F | Il segnale raffigurato preannuncia un passaggio a livello con semibarriere
F | Il segnale raffigurato preannuncia la presenza di corsie reversibili
F | Il segnale raffigurato preannuncia la presenza di macchine sgombraneve in azione
F | Il segnale raffigurato preannuncia un attraversamento ciclabile Aeromobili Figura 36
V | Il segnale raffigurato preannuncia la possibilità di un improvviso abbagliamento dovuto ad aeroplani a bassa quota
V | Il segnale raffigurato preannuncia la possibilità di un improvviso e forte rumore dovuto ad aeroplani a bassa quota
V | Il segnale raffigurato è posto nelle vicinanze di aeroporti
V | Il segnale raffigurato è posto nelle vicinanze di piste per l'atterraggio ed il decollo di aeroplani
V | Il segnale raffigurato è posto in zone dove può avvenire il volo a bassa quota di aeroplani
F | Il segnale raffigurato preannuncia una località di volo a vela
F | Il segnale raffigurato preannuncia una zona riservata ai veicoli dell'aeronautica militare
F | Il segnale raffigurato preannuncia un bivio per l'aeroporto
F | Il segnale raffigurato vieta l'accesso agli aeroporti
F | Il segnale raffigurato preannuncia una corsia riservata per l'ingresso in aeroporto 36 Forte vento laterale Figura 37
V | Il segnale raffigurato presegnala un tratto di strada soggetto a forti raffiche di vento laterale
V | Il segnale raffigurato preannuncia la possibilità di forti raffiche di vento laterale all'uscita da una galleria
V | Il segnale raffigurato preannuncia la presenza di un viadotto esposto ad improvvise raffiche di vento laterale
V | Il segnale raffigurato preannuncia zone soggette a forti ed improvvise raffiche di vento laterale
V | Il segnale raffigurato preannuncia un pericolo che è maggiore per i veicoli telonati o furgonati
V | Il segnale raffigurato preannuncia di procedere con prudenza tenendo saldamente il volante
F | Il segnale raffigurato preannuncia la presenza di aeroplani a bassa quota
F | Il segnale raffigurato preannuncia un tratto di strada vicino ad un aeroporto
F | Il segnale raffigurato preannuncia la presenza di un campo d'aviazione
F | Il segnale raffigurato indica da quale direzione proviene il vento
F | Il segnale raffigurato preannuncia la presenza, nelle vicinanze, di un parco giochi
F | Il segnale raffigurato preannuncia la presenza di capannoni industriali nelle vicinanze Forte vento laterale Figura 37
V | Il segnale raffigurato preannuncia un pericolo che, in caso di forte vento laterale, è maggiore per i veicoli che trainano rimorchi
V | Il segnale raffigurato preannuncia, in caso di forte vento laterale, un pericolo che è maggiore per i veicoli a due ruote
V | Il segnale raffigurato preannuncia, in caso di forte vento laterale, un pericolo che è maggiore per i veicoli che trainano caravan
V | Il segnale raffigurato richiede, in caso di forte vento laterale, di procedere con prudenza tenendo il volante con una presa più sicura
V | Il segnale raffigurato preannuncia, in caso di forte vento laterale, la necessità per i veicoli telonati di rallentare e all'oc- correnza di fermarsi
V | Il segnale raffigurato preannuncia, in caso di forte vento laterale, possibili sbandamenti dei veicoli provenienti dal senso opposto
V | Il segnale raffigurato preannuncia, in caso di forte vento laterale, un pericolo che aumenta all'aumentare della superficie laterale del veicolo
F | Il segnale raffigurato preannuncia, in caso di forte vento laterale, un pericolo maggiore all'entrata delle gallerie per i veicoli stretti e alti
F | Il segnale raffigurato preannuncia una zona dove, in caso di forte vento laterale, i veicoli con rimorchio hanno maggiore tenuta di strada
F | Il segnale raffigurato preannuncia una zona dove, in caso di forte vento laterale, i veicoli scarichi o leggeri hanno mag- giore tenuta di strada
F | Il segnale raffigurato preannuncia, in caso di forte vento laterale, un pericolo che è minore per i veicoli con carichi volu- minosi sopra il tetto
F | Il segnale raffigurato, in caso di forte vento laterale, consente di sorpassare riducendo la distanza laterale dal veicolo che si sta superando
F | Il segnale raffigurato preannuncia l'ingresso in galleria
F | Il segnale raffigurato preannuncia la possibile presenza di ghiaccio sulla strada 37 Pericolo di incendio Figura 38
V | Il segnale raffigurato preannuncia l'attraversamento di una zona soggetta al pericolo d'incendio
V | Il segnale raffigurato preannuncia la vicinanza di zone ad alto rischio d'incendio
V | Il segnale raffigurato indica che ci si sta avvicinando ad un bosco facilmente infiammabile
V | Il segnale raffigurato preannuncia zone laterali alla strada che sono ad alto rischio d'incendio
V | Il segnale raffigurato è integrato dal pannello che indica la lunghezza del tratto di strada interessato
V | In presenza del segnale se il conducente o gli eventuali passeggeri non rispettano il divieto di gettare sigarette accese dal finestrino, può verificarsi un incendio
F | Il segnale raffigurato preannuncia l'attraversamento di una zona soggetta al pericolo di esplosioni
F | Il segnale raffigurato preannuncia un tratto di strada fiancheggiato da cave di pietra, con pericolo di esplosioni
F | Il segnale raffigurato vieta il transito ai veicoli che trasportano esplosivi
F | Il segnale raffigurato vieta il transito ai veicoli che trasportano prodotti facilmente infiammabili
F | Il segnale raffigurato vieta il transito ai veicoli che trasportano liquidi infiammabili
F | Il segnale raffigurato preannuncia la possibilità di forte vento laterale Altri pericoli Figura 39 Figura 920 Figura 921 Figura 922 Figura 923
V | Il segnale raffigurato preannuncia un pericolo diverso da quelli per cui sono previsti specifici segnali
V | Il segnale raffigurato preannuncia che bisogna usare prudenza perché è vicino un pericolo
V | Il segnale (A), integrato con il pannello (B), preannuncia la possibilità di formazione del ghiaccio  (FIG 923)
V | Il segnale raffigurato può essere usato senza pannelli integrativi per indicare un pericolo generico in caso di emergenza
V | Il segnale (A), integrato con il pannello (B), preannuncia la presenza di binari di manovra in corrispondenza di stabili- menti industriali  (FIG 920)
V | Il segnale (A), integrato con il pannello (B), preannuncia la possibile presenza di macchine sgombraneve al lavoro sulla strada  (FIG 921)
F | Il segnale raffigurato preannuncia un tratto di strada in cattivo stato o con pavimentazione irregolare
F | Il segnale raffigurato preannuncia che bisogna proseguire diritto
F | Il segnale raffigurato preannuncia una salita ripida
F | Il segnale (A), integrato con il pannello (B), preannuncia un passaggio a livello senza barriere  (FIG 920)
F | Il segnale (A), integrato con il pannello (B), preannuncia la presenza di veicoli militari in manovra  (FIG 922) 38 Dare precedenza Figura 40
V | Il segnale raffigurato è un segnale di precedenza
V | Il segnale raffigurato obbliga a dare precedenza ai veicoli provenienti sia da destra che da sinistra
V | Il segnale raffigurato comporta di dare la precedenza ai veicoli che circolano sulla strada che si incrocia
V | Il segnale raffigurato viene posto su strada secondaria che non ha il diritto di precedenza
V | Il segnale raffigurato si trova sulle corsie di accelerazione per l'immissione in autostrada
V | Il segnale raffigurato su strade extraurbane è preceduto dal segnale PREAVVISO DI DARE PRECEDENZA
V | Il segnale raffigurato preannuncia di moderare particolarmente la velocità e all'occorrenza fermarsi
V | In presenza del segnale raffigurato non occorre fermarsi all'incrocio se, rallentando, si ha modo di vedere che non vi sono veicoli in arrivo, sia da destra che da sinistra
F | Il segnale raffigurato può essere preceduto dal segnale DIRITTO DI PRECEDENZA
F | Il segnale raffigurato è impiegato su strade che godono del diritto di precedenza
F | Il segnale raffigurato è posto, di norma, 150 metri prima dell'incrocio
F | Il segnale raffigurato, lungo le autostrade, viene posto a distanza maggiore di 150 m
F | Il segnale raffigurato obbliga a fermarsi prima di impegnare l'incrocio
F | Il segnale raffigurato si trova solo su strade urbane
F | Il segnale raffigurato è un segnale generico di pericolo
F | In presenza del segnale raffigurato è obbligatorio dare la precedenza a sinistra solo ai tram e ai veicoli in servizio di emergenza Dare precedenza Figura 40
V | Il segnale raffigurato è un segnale di prescrizione
V | Il segnale raffigurato obbliga a dare precedenza ai veicoli che circolano sulla strada su cui ci si immette
V | La prescrizione del segnale raffigurato, se abbinato ad un semaforo, vale quando il semaforo funziona a luce gialla lampeggiante
V | Il segnale raffigurato si trova sulle rampe di raccordo per l'immissione in autostrada
V | Il segnale raffigurato impone l'uso della massima prudenza al fine di evitare incidenti
F | Il segnale raffigurato può essere preceduto dal PREAVVISO DI FERMARSI E DARE PRECEDENZA
F | Il segnale raffigurato lungo le autostrade viene posto a distanza di 150 metri dall'area di servizio
F | Il segnale raffigurato preannuncia di arrestarsi prima di impegnare l'incrocio
F | Il segnale raffigurato si trova solo su strade extraurbane 39 Fermarsi e dare precedenza Figura 41
V | Il segnale raffigurato obbliga a fermarsi in corrispondenza della striscia trasversale di arresto e a dare la precedenza agli altri veicoli
V | Il segnale raffigurato impone di arrestarsi e dare la precedenza prima di impegnare l'incrocio
V | Il segnale raffigurato obbliga ad arrestarsi all'incrocio e a dare la precedenza a destra e a sinistra
V | Il segnale raffigurato impone di fermarsi all'incrocio anche in presenza di semaforo a luce lampeggiante gialla
V | Il segnale raffigurato si trova all'incrocio con una strada con diritto di precedenza
V | Il segnale raffigurato si trova, in genere, negli incroci con scarsa visibilità
V | Il segnale raffigurato, fuori dei centri abitati, è preceduto dal relativo segnale di preavviso
V | Il segnale raffigurato è utilizzato, di norma, negli incroci di particolare pericolosità
V | Il segnale raffigurato può trovarsi in corrispondenza di un passaggio a livello
F | Il segnale raffigurato preannuncia l'obbligo di fermarsi e di dare la precedenza nei sensi unici alternati
F | Il segnale raffigurato obbliga ad arrestarsi al varco doganale
F | Il segnale raffigurato obbliga ad arrestarsi soltanto in caso di incrocio con altri veicoli
F | Il segnale raffigurato obbliga ad arrestarsi per dare la precedenza solo ai veicoli provenienti da destra
F | Il segnale raffigurato è posto, di norma, 150 metri prima dell'incrocio
F | Il segnale raffigurato impone di arrestarsi perché il transito è vietato
F | Il segnale raffigurato preannuncia di arrestarsi all'incrocio anche se il semaforo emette luce verde
F | Il segnale raffigurato preannuncia l'obbligo di arresto ad un posto di blocco istituito dagli organi di polizia
F | Il segnale raffigurato obbliga ad arrestarsi solo se sopraggiungono altri veicoli Preavviso di dare precedenza Figura 42
V | Il segnale raffigurato è un segnale di prescrizione
V | Il segnale raffigurato è un preavviso di dare precedenza sia a destra che a sinistra
V | Il segnale raffigurato preannuncia la successiva presenza di un segnale di DARE PRECEDENZA
V | Il segnale raffigurato indica la distanza dall'incrocio in cui dobbiamo dare precedenza
V | Il segnale raffigurato preannuncia di rallentare per potersi fermare se ci sono veicoli cui bisogna dare precedenza
V | Il segnale raffigurato può preannunciare un incrocio a T, in cui bisogna dare la precedenza
V | Il segnale raffigurato è posto su una strada che non ha diritto di precedenza
F | Il segnale raffigurato è un preavviso di fermarsi e dare precedenza
F | Il segnale raffigurato preannuncia la distanza dal prossimo segnale di STOP
F | Il segnale raffigurato indica la distanza dall'incrocio in cui dovremo obbligatoriamente fermarci
F | In presenza del segnale raffigurato è obbligatorio fermarsi al prossimo incrocio
F | Il segnale raffigurato preannuncia un incrocio in cui vale la regola di dare la precedenza solo a destra
F | Il segnale raffigurato preannuncia la presenza di un semaforo a tre luci a 320 metri 40 Preavviso di fermarsi e dare precedenza Figura 43
V | Il segnale raffigurato è un segnale di preavviso di fermarsi e dare precedenza
V | Il segnale raffigurato preannuncia un segnale di STOP a 320 metri
V | Il segnale raffigurato preannuncia di arrestarsi al prossimo incrocio e dare la precedenza a destra ed a sinistra
V | Il segnale raffigurato preannuncia di fermarsi 320 metri dopo il segnale e dare la precedenza
V | Il segnale raffigurato invita a rallentare perché è prossimo un incrocio in cui bisogna fermarsi e dare la precedenza
V | Il segnale raffigurato è un segnale di prescrizione
F | Il segnale raffigurato obbliga solo a rallentare e, se necessario, a dare la precedenza all'incrocio a 320 metri
F | Il segnale raffigurato è posto a 320 metri dal segnale DARE PRECEDENZA
F | Il segnale raffigurato si trova solo nelle strade urbane
F | Il segnale raffigurato preannuncia la presenza di una barriera doganale
F | Il segnale raffigurato può presegnalare un casello autostradale
F | Il segnale raffigurato è posto prima del segnale ALT-POLIZIA
F | Incontrando il segnale raffigurato occorre fermarsi e poi arrestarsi nuovamente dopo 320 metri
F | Il segnale raffigurato è un segnale di pericolo Intersezione con precedenza a destra Figura 44
V | Il segnale raffigurato preannuncia un incrocio in cui vale la regola generale di dare la precedenza a destra
V | Il segnale raffigurato prescrive di procedere a velocità particolarmente moderata
V | Il segnale raffigurato preannuncia un incrocio in cui si deve dare precedenza a destra
V | Il segnale raffigurato è un segnale di precedenza
V | Il segnale raffigurato non si trova sul tratto di strada con diritto di precedenza
F | Il segnale raffigurato presegnala un passaggio a livello custodito con barriere
F | Il segnale raffigurato precede il segnale DARE PRECEDENZA
F | Il segnale raffigurato precede il segnale di STOP
F | Il segnale raffigurato si trova, di norma, a non più di 50 metri dall'incrocio
F | Il segnale raffigurato, in autostrada, viene posto a una distanza maggiore di 250 metri
F | Il segnale raffigurato preannuncia la presenza del segnale CROCE DI S. ANDREA 41 Intersezione con diritto di precedenza Figura 47
V | Il segnale raffigurato preannuncia un incrocio con strade di minore importanza
V | Il segnale raffigurato preannuncia un incrocio in cui si ha la precedenza sui veicoli provenienti dalle strade secondarie
V | Il segnale raffigurato preannuncia l'incrocio con una strada senza diritto di precedenza
V | Il segnale raffigurato, all'incrocio, ci dà la precedenza sui veicoli provenienti sia da destra che da sinistra
V | Il segnale raffigurato perde la sua efficacia in presenza di agente che regola il traffico
V | Il segnale raffigurato può essere preceduto dal segnale DIRITTO DI PRECEDENZA
V | Il segnale raffigurato preannuncia che bisogna rallentare per accertare che ci venga data la precedenza
V | Il segnale raffigurato preannuncia un incrocio in cui si ha la precedenza
F | Il segnale raffigurato preannuncia una confluenza sia da destra che da sinistra
F | Il segnale raffigurato vieta la svolta a sinistra all'incrocio
F | Il segnale raffigurato preannuncia un incrocio con precedenza rispetto ai veicoli provenienti da sinistra mentre si deve dare la precedenza a quelli provenienti da destra
F | Il segnale raffigurato è posto sulle autostrade
F | Il segnale raffigurato è posto a non più di 25 metri dall'incrocio
F | Il segnale raffigurato preannuncia un incrocio nel quale bisogna dare la precedenza
F | Il segnale raffigurato preannuncia corsie di accelerazione a destra e a sinistra Intersezione a T con diritto di precedenza Figura 48
V | Il segnale raffigurato preannuncia che si incrocia a destra una strada di minore importanza
V | Il segnale raffigurato preannuncia un incrocio con una strada secondaria che si immette da destra
V | In presenza del segnale raffigurato bisogna usare prudenza perché ci si sta avvicinando ad un incrocio
V | Il segnale raffigurato è un segnale di precedenza
V | Il segnale raffigurato preannuncia l'incrocio con una strada senza diritto di precedenza
V | Il segnale raffigurato preannuncia un incrocio in cui il conducente ha la precedenza sui veicoli provenienti da destra
F | Il segnale raffigurato preannuncia, sulla destra, una strada senza uscita
F | Il segnale raffigurato vieta la svolta a destra
F | Il segnale raffigurato è posto sulle corsie di accelerazione delle autostrade
F | Il segnale raffigurato preannuncia un'immissione stradale con corsia di accelerazione
F | Il segnale raffigurato preannuncia un incrocio in cui il conducente ha l'obbligo di fermarsi e dare precedenza ai veicoli provenienti da destra
F | Il segnale raffigurato indica una piazzola di sosta a destra 42 Intersezione a T con diritto di precedenza Figura 49
V | Il segnale raffigurato preannuncia che si incrocia sulla sinistra una strada di minore importanza
V | Il segnale raffigurato preannuncia un incrocio in cui si ha la precedenza
V | Il segnale raffigurato prescrive di usare prudenza perché ci si sta avvicinando ad un incrocio
V | Il segnale raffigurato è un segnale di precedenza
V | Il segnale raffigurato preannuncia l'incrocio con una strada senza diritto di precedenza
